"","site","depth","date","data","delta"
"1051","BCI","Shallow",2005-05-25,0.04,0
"1052","BCI","Shallow",2005-06-14,0.04,0
"1053","BCI","Shallow",2005-07-27,0.04,0
"1054","BCI","Shallow",2005-08-25,0.04,0
"1055","BCI","Shallow",2005-09-28,0.04,0
"1056","BCI","Shallow",2005-10-26,0.04,0
"1057","BCI","Shallow",2005-11-22,0.04,0
"1058","BCI","Shallow",2005-12-27,0.04,0
"1095","DC1","Shallow",2003-03-27,0,0
"1096","DC1","Shallow",2003-04-30,0,0
"1097","DC1","Shallow",2003-05-29,0,0
"1098","DC1","Shallow",2003-06-26,0,0
"1100","DC1","Shallow",2003-08-27,0.05,0.05
"1101","DC1","Shallow",2003-09-24,0.06,0.01
"1102","DC1","Shallow",2003-10-30,0.05,-0.01
"1103","DC1","Shallow",2003-11-26,0.05,0
"1104","DC1","Shallow",2003-12-30,0.04,-0.01
"1105","DC1","Shallow",2004-01-28,0.04,0
"1106","DC1","Shallow",2004-02-26,0.05,0.01
"1107","DC1","Shallow",2004-03-25,0.06,0.01
"1108","DC1","Shallow",2004-04-28,0.06,0
"1109","DC1","Shallow",2004-05-26,0.04,-0.02
"1110","DC1","Shallow",2004-06-23,0.05,0.01
"1111","DC1","Shallow",2004-07-29,0.01,-0.04
"1112","DC1","Shallow",2004-08-25,0.06,0.05
"1113","DC1","Shallow",2004-09-30,0.05,-0.01
"1114","DC1","Shallow",2004-10-27,0.05,0
"1115","DC1","Shallow",2004-11-25,0.04,-0.01
"1116","DC1","Shallow",2004-12-22,0.03,-0.01
"1117","DC1","Shallow",2005-01-26,0.03,0
"1118","DC1","Shallow",2005-02-23,0.04,0.01
"1119","DC1","Shallow",2005-03-23,0.04,0
"1120","DC1","Shallow",2005-04-28,0.04,0
"1121","DC1","Shallow",2005-05-25,0.06,0.02
"1122","DC1","Shallow",2005-06-14,0.05,-0.01
"1123","DC1","Shallow",2005-07-27,0.06,0.01
"1124","DC1","Shallow",2005-08-25,0.05,-0.01
"1125","DC1","Shallow",2005-09-28,0.05,0
"1126","DC1","Shallow",2005-10-26,0.05,0
"1127","DC1","Shallow",2005-11-22,0.06,0.01
"1128","DC1","Shallow",2005-12-27,0.05,-0.01
"1164","ESC","Shallow",2003-01-22,0.04,0
"1166","ESC","Shallow",2003-04-28,0,-0.04
"1167","ESC","Shallow",2003-05-29,0,0
